substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification
500,0.039062499999999514,0.000078125,1856.0500784586875,636.5738267069665,0.9209314749095144,Seeding
1000,0.07812499999999868,0.000078125,1854.3508062854114,636.5435984873858,0.9208149984386673,Seeding
1500,0.11718749999999785,0.000078125,1852.6302561182833,636.5132034590895,0.9206937828235603,Seeding
2000,0.15625000000000255,0.000078125,1850.903277579898,636.482634968425,0.9205680619245533,Seeding
2500,0.19531250000000866,0.000078125,1849.1761365519228,636.4518872314026,0.9204379808534152,Seeding
3000,0.23437500000001477,0.000078125,1847.4502239010872,636.4209541347401,0.9203036373126595,Seeding
3500,0.27343750000001255,0.000078125,1845.7260533280553,636.3898300619937,0.9201651012916732,Seeding
4000,0.3125000000000048,0.000078125,1844.0038613528163,636.358509364171,0.9200224271204066,Seeding
4500,0.351562499999997,0.000078125,1842.283744636586,636.3269866475224,0.9198756593133273,Seeding
5000,0.39062499999998923,0.000078125,1840.565759583576,636.2952563351623,0.9197248367725208,Transient
5500,0.42968749999998146,0.000078125,1838.849937339098,636.263312940298,0.9195699944870375,Transient
6000,0.4687499999999737,0.000078125,1837.1362943996214,636.231151468549,0.9194111642173204,Transient
6500,0.5078124999999715,0.000078125,1835.4248356115147,636.1987664936566,0.9192483766184312,Transient
7000,0.5468749999999915,0.000078125,1833.7155632858792,636.1661525683552,0.9190816611501017,Transient
7500,0.5859375000000114,0.000078125,1832.0084854336583,636.1333045721915,0.9189110459054387,Transient
8000,0.6250000000000314,0.000078125,1830.303603036154,636.1002174525773,0.9187365582083867,Transient
8500,0.6640625000000514,0.000078125,1828.600916662561,636.0668859857109,0.9185582251128571,Transient
9000,0.7031250000000714,0.000078125,1826.9004250410655,636.0333051121211,0.9183760730261856,Transient
9500,0.7421875000000914,0.000078125,1825.202125037808,635.999469606265,0.9181901282638286,Transient
10000,0.7812500000001114,0.000078125,1823.50601437659,635.9653744141432,0.9180004166181677,Transient
10500,0.8203125000001313,0.000078125,1821.812090277559,635.9310145819396,0.9178069635033159,Transient
11000,0.8593750000001513,0.000078125,1820.1203504278592,635.89638529309,0.9176097939329069,Transient
11500,0.8984375000001713,0.000078125,1818.4307923692797,635.8614816377016,0.9174089328765371,Transient
12000,0.9375000000001913,0.000078125,1816.743412944687,635.82629874163,0.917204405091398,Transient
12500,0.9765625000002113,0.000078125,1815.0582102359997,635.7908317580474,0.9169962351484936,Transient
13000,1.015625000000209,0.000078125,1813.375180577177,635.7550759211434,0.9167844473661229,Transient
13500,1.0546875000001734,0.000078125,1811.6943200026149,635.7190266812379,0.9165690656237512,Transient
14000,1.093750000000138,0.000078125,1810.0156255179013,635.6826789597013,0.9163501144430919,Transient
14500,1.1328125000001024,0.000078125,1808.3390947009361,635.6460281909124,0.9161276174913204,Transient
15000,1.1718750000000668,0.000078125,1806.6647245069441,635.6090697580566,0.9159015983991315,Transient
15500,1.2109375000000313,0.000078125,1804.992511791967,635.5717989147371,0.9156720808773129,Transient
16000,1.2499999999999958,0.000078125,1803.3224534152475,635.5342110671736,0.9154390883131055,Transient
