substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification,struct_rep,cat_rep
1000,0.07812499999999868,0.000078125,1854.3508062854114,636.5435984873858,0.9208149984386673,Seeding,0.0019533254379469314,0.0006692402514524266
2000,0.15625000000000255,0.000078125,1850.903277579898,636.482634968425,0.9205680619245533,Seeding,0.0039030578107690328,0.0013392527506030166
3000,0.23437500000001477,0.000078125,1847.4502239010872,636.4209541347401,0.9203036373126595,Seeding,0.005849156287047088,0.00201010055042153
4000,0.3125000000000048,0.000078125,1844.0038613528163,636.358509364171,0.9200224271204066,Seeding,0.00779162397599548,0.0026818428426036993
5000,0.39062499999998923,0.000078125,1840.565759583576,636.2952563351623,0.9197248367725208,Transient,0.009730468958616451,0.0033545368928292662
6000,0.4687499999999737,0.000078125,1837.1362954099568,636.2311514685549,0.9194111642173124,Transient,0.01166570016393015,0.004028238690720644
7000,0.5468749999999915,0.000078125,1833.7155672157312,636.1661525683764,0.9190816611500718,Transient,0.01359732674855892,0.004703003204447469
8000,0.6250000000000314,0.000078125,1830.303611640805,636.100217452624,0.9187365582083216,Transient,0.015525357925153256,0.005378884489702177
9000,0.7031250000000714,0.000078125,1826.9004390387909,636.0333051121928,0.9183760730260855,Transient,0.01744980293513997,0.006055935750937754
10000,0.7812500000001114,0.000078125,1823.5060335523685,635.9653744142382,0.9180004166180348,Transient,0.01937067101496305,0.006734209373385029
11000,0.8593750000001513,0.000078125,1820.1203745749622,635.8963852932053,0.9176097939327461,Transient,0.02128797138027784,0.007413756944013941
12000,0.9375000000001913,0.000078125,1816.7434418644082,635.8262987417639,0.91720440509121,Transient,0.02320171322556557,0.008094629273149254
13000,1.015625000000209,0.000078125,1813.3752140787258,635.755075921294,0.9167844473659116,Transient,0.025111905723174493,0.00877687640637454
14000,1.093750000000138,0.000078125,1810.0156634175764,635.6826789598691,0.9163501144428577,Transient,0.02701855802024725,0.009460547637043532
15000,1.1718750000000668,0.000078125,1806.6647666281453,635.6090697582407,0.9159015983988733,Transient,0.028921679235912462,0.010145691513283074
16000,1.2499999999999958,0.000078125,1803.3224995885403,635.5342110673696,0.9154390883128312,Transient,0.030821278465205357,0.010832355848156266
17000,1.3281249999999247,0.000078125,1799.9888371923143,635.458066416719,0.9149627704811958,Transient,0.03271736477697716,0.011520587728175127
18000,1.4062499999998537,0.000078125,1796.6637543813135,635.3805994394139,0.9144728294690042,Transient,0.03460994721368246,0.012210433521606305
19000,1.4843749999997826,0.000078125,1793.3472261427034,635.3017746018513,0.9139694471179469,Transient,0.036499034791428256,0.012901938886739484
20000,1.5624999999997116,0.000078125,1790.039227655477,635.2215593180262,0.9134527995538907,Transient,0.0383846365000561,0.013595148786500413
21000,1.6406249999996405,0.000078125,1786.7397344511885,635.1399173554393,0.9129230667093701,Transient,0.040266761303543105,0.01429010749383807
22000,1.7187499999995695,0.000078125,1783.4487216716186,635.0568140729948,0.9123804248196254,Transient,0.04214541813989545,0.014986858586660223
23000,1.7968749999994984,0.000078125,1780.1661644613648,634.9722158155352,0.9118250473244682,Transient,0.04402061592094557,0.01568544496021559
24000,1.8749999999994273,0.000078125,1776.892038001906,634.886089602597,0.9112571053436807,Transient,0.04589236353238749,0.0163859088377415
25000,1.9531249999993563,0.000078125,1773.6263175118977,634.7984033455048,0.9106767673914405,Viable,0.04776066983381516,0.0170882917786185
26000,2.0312499999992855,0.000078125,1770.3689782467302,634.7091248152499,0.9100842008816816,Viable,0.04962554365876199,0.017792634684483527
27000,2.1093749999992144,0.000078125,1767.1199954976323,634.618222545274,0.9094795708548941,Viable,0.05148699381473838,0.018498977804325537
28000,2.1874999999991434,0.000078125,1763.8793445926146,634.5256655324145,0.9088630404297898,Viable,0.053345029083270636,0.019207360743870222
29000,2.2656249999990723,0.000078125,1760.6470008954605,634.4314232449772,0.9082347708128478,Viable,0.055199658219938136,0.019917822469601054
30000,2.3437499999990012,0.000078125,1757.4229398068887,634.3354664422021,0.9075949201469823,Viable,0.05705088995441252,0.0206304013189026
31000,2.42187499999893,0.000078125,1754.2071367642782,634.2377648299761,0.9069436468866261,Viable,0.058898732990496507,0.021345135005756938
32000,2.499999999998859,0.000078125,1750.9995672392563,634.1382889888025,0.9062811070563774,Viable,0.0607431960061604,0.022062060620829355
33000,2.578124999998788,0.000078125,1747.8002067392067,634.0370106123972,0.9056074539313277,Viable,0.06258428765357926,0.022781214641842
34000,2.656249999998717,0.000078125,1744.6090308096152,633.9339023287359,0.9049228383134965,Viable,0.06442201655917178,0.023502632945945255
35000,2.734374999998646,0.000078125,1741.4260150301593,633.828935009793,0.9042274123891177,Viable,0.0662563913236389,0.024226350805584555
36000,2.812499999998575,0.000078125,1738.251135015112,633.7220815491482,0.9035213243527169,Viable,0.06808742052199908,0.02495240289541987
37000,2.890624999998504,0.000078125,1735.0843664149147,633.6133149380545,0.9028047211718764,Viable,0.06991511270362609,0.02568082330236073
38000,2.968749999998433,0.000078125,1731.925684914994,633.5026086227838,0.9020777480939798,Viable,0.07173947639228623,0.0264116455283661
39000,3.0468749999983618,0.000078125,1728.7750662371309,633.3899374684661,0.9013405472914104,Viable,0.07356052008617589,0.02714490249952457
40000,3.1249999999982907,0.000078125,1725.6324861416113,633.2752762693682,0.9005932600005598,Viable,0.07537825225796059,0.02788062657746901
41000,3.2031249999982196,0.000078125,1722.497920421663,633.1585984355231,0.8998360284013592,Viable,0.07719268135481394,0.028618849550125235
42000,3.2812499999981486,0.000078125,1719.371344905602,633.0398799242372,0.8990689900420195,Viable,0.07900381579845225,0.0293596026427308
43000,3.3593749999980775,0.000078125,1716.2527354593797,632.919096547846,0.8982922816841427,Viable,0.0808116639851721,0.03010291652984451
44000,3.4374999999980065,0.000078125,1713.1420679834196,632.7962240374248,0.8975060392244777,Viable,0.08261623428589018,0.03084882133213695
45000,3.5156249999979354,0.000078125,1710.039318414522,632.6712392123944,0.8967103960500789,Viable,0.08441753504617891,0.03159734662666733
46000,3.5937499999978644,0.000078125,1706.9444627245039,632.544118249039,0.895905485507412,Viable,0.0862155745863056,0.03234852144811917
47000,3.6718749999977933,0.000078125,1703.857476920544,632.4148385114061,0.8950914383200854,Viable,0.08801036120126783,0.0331023742950109
48000,3.7499999999977223,0.000078125,1700.7783370453694,632.2833775286956,0.8942683840525265,Viable,0.08980190316083154,0.033858933134538194
49000,3.828124999997651,0.000078125,1697.707019180657,632.1497159848103,0.8934364468993846,Viable,0.09159020870956998,0.034618225416998265
50000,3.90624999999758,0.000078125,1694.6434994450296,632.0138301264972,0.8925957564273419,Viable,0.09337528606690434,0.035380278074576
51000,3.984374999997509,0.000078125,1691.587753989465,631.8756983461299,0.8917464382799778,Viable,0.09515714342713999,0.036145117514228775
52000,4.0624999999974385,0.000078125,1688.539759000889,631.7352999848853,0.890888615885199,Viable,0.096935788959502,0.03691276963174055
53000,4.140624999997367,0.000078125,1685.4994907041576,631.5926160067612,0.8900224095213645,Viable,0.09871123080817332,0.03768325982114182
54000,4.218749999997296,0.000078125,1682.466925361254,631.447625236957,0.8891479416299334,Viable,0.10048347709233656,0.03845661297751264
55000,4.296874999997225,0.000078125,1679.4420392682268,631.3003077112696,0.8882653321033818,Viable,0.10225253590620881,0.03923285349281499
56000,4.374999999997154,0.000078125,1676.4248087574583,631.1506441113821,0.8873746990949016,Viable,0.10401841531908079,0.04001200526644842
57000,4.453124999997083,0.000078125,1673.415210198212,630.9986157524144,0.8864761590484767,Viable,0.10578112337535392,0.04079409171083409
58000,4.531249999997012,0.000078125,1670.4132199966432,630.8442039107642,0.8855698276549909,Viable,0.10754066809457996,0.04157913575568418
59000,4.609374999996941,0.000078125,1667.4188145956493,630.6873905812091,0.8846558187990288,Viable,0.10929705747149943,0.04236715985156194
60000,4.68749999999687,0.000078125,1664.4319704753475,630.5281578310454,0.8837342454765902,Viable,0.11105029947608036,0.04315818597547126
