substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification
500,0.039062499999999514,0.000078125,1856.0500784586875,636.5738267069665,0.9209314749095144,Seeding
1000,0.07812499999999868,0.000078125,1854.3508062854114,636.5435984873858,0.9208149984386673,Seeding
1500,0.11718749999999785,0.000078125,1852.6302561182833,636.5132034590895,0.9206937828235603,Seeding
2000,0.15625000000000255,0.000078125,1850.903277579898,636.482634968425,0.9205680619245533,Seeding
2500,0.19531250000000866,0.000078125,1849.1761365519228,636.4518872314026,0.9204379808534152,Seeding
3000,0.23437500000001477,0.000078125,1847.4502239010872,636.4209541347401,0.9203036373126595,Seeding
3500,0.27343750000001255,0.000078125,1845.7260533280553,636.3898300619937,0.9201651012916732,Seeding
4000,0.3125000000000048,0.000078125,1844.0038613528163,636.358509364171,0.9200224271204066,Seeding
4500,0.351562499999997,0.000078125,1842.283744636586,636.3269866475224,0.9198756593133273,Seeding
5000,0.39062499999998923,0.000078125,1840.565759583576,636.2952563351623,0.9197248367725208,Transient
5500,0.42968749999998146,0.000078125,1838.8499375954761,636.2633129402997,0.919569994487035,Transient
6000,0.4687499999999737,0.000078125,1837.1362954099568,636.2311514685549,0.9194111642173124,Transient
6500,0.5078124999999715,0.000078125,1835.4248378528916,636.1987664936711,0.9192483766184115,Transient
7000,0.5468749999999915,0.000078125,1833.7155672157312,636.1661525683764,0.9190816611500718,Transient
7500,0.5859375000000114,0.000078125,1832.0084914906045,636.1333045722232,0.9189110459053949,Transient
8000,0.6250000000000314,0.000078125,1830.303611640805,636.100217452624,0.9187365582083216,Transient
