substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification
500,0.039062499999999514,0.000078125,1857.4255219493261,636.5614655009756,0.9210368292229998,Seeding
1000,0.07812499999999868,0.000078125,1857.462322091425,636.5616202377223,0.9210642136096879,Seeding
1500,0.11718749999999785,0.000078125,1857.4756052038194,636.5618187325197,0.9210909142972915,Seeding
2000,0.15625000000000255,0.000078125,1857.480210366985,636.5620605179157,0.9211171327895452,Seeding
2500,0.19531250000000866,0.000078125,1857.482410608361,636.5623457522495,0.9211429844256823,Seeding
3000,0.23437500000001477,0.000078125,1857.4836008675898,636.5626741007253,0.9211685384796845,Seeding
3500,0.27343750000001255,0.000078125,1857.4842985489058,636.5630456163417,0.9211938372790012,Seeding
4000,0.3125000000000048,0.000078125,1857.484743770845,636.563460234209,0.9212189079843802,Seeding
4500,0.351562499999997,0.000078125,1857.4850365207562,636.5639180796663,0.9212437682869661,Seeding
5000,0.39062499999998923,0.000078125,1857.4852365354438,636.5644190335198,0.9212684305459602,Transient
5500,0.42968749999998146,0.000078125,1857.485378513141,636.5649630150491,0.9212929034399415,Transient
6000,0.4687499999999737,0.000078125,1857.4854824452889,636.5655503985009,0.9213171926102172,Transient
6500,0.5078124999999715,0.000078125,1857.4855563375636,636.566181072642,0.9213413027972721,Transient
7000,0.5468749999999915,0.000078125,1857.4856056543406,636.5668548602097,0.9213652377299706,Transient
7500,0.5859375000000114,0.000078125,1857.485641668011,636.5675718767448,0.9213889999321857,Transient
8000,0.6250000000000314,0.000078125,1857.4856685434104,636.5683322675715,0.9214125913230498,Transient
