substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification
500,0.039062499999999514,0.000078125,1855.9749736077024,636.573813782336,0.9209063840584465,Seeding
1000,0.07812499999999868,0.000078125,1854.2001164239152,636.5435467585847,0.9207647467415134,Seeding
1500,0.11718749999999785,0.000078125,1852.403502919479,636.513087072454,0.9206182943723598,Seeding
2000,0.15625000000000255,0.000078125,1850.5999843987408,636.482428088547,0.9204672555913949,Seeding
2500,0.19531250000000866,0.000078125,1848.7958281431977,636.4515640341556,0.9203117706479692,Seeding
3000,0.23437500000001477,0.000078125,1846.99242649875,636.4204888006666,0.9201519325842493,Seeding
3500,0.27343750000001255,0.000078125,1845.1902946698267,636.3891967699319,0.9199878068577615,Seeding
4000,0.3125000000000048,0.000078125,1843.38967066357,636.3576822849991,0.9198194433586324,Seeding
4500,0.351562499999997,0.000078125,1841.5906526271174,636.3259399380304,0.919646882234954,Seeding
5000,0.39062499999998923,0.000078125,1839.7932984559736,636.293964132021,0.9194701580854614,Transient
5500,0.42968749999998146,0.000078125,1837.9976410393012,636.2617493540903,0.9192893016532299,Transient
6000,0.4687499999999737,0.000078125,1836.2036985938948,636.2292905778995,0.9191043405065347,Transient
6500,0.5078124999999715,0.000078125,1834.4114774247832,636.1965823394303,0.9189153011594486,Transient
7000,0.5468749999999915,0.000078125,1832.6209813015812,636.163619147898,0.9187222089803524,Transient
7500,0.5859375000000114,0.000078125,1830.8322197006773,636.1303958336744,0.9185250880195805,Transient
8000,0.6250000000000314,0.000078125,1829.0451950536417,636.0969072894001,0.918323961605937,Transient
